שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
מלחמת היהודים.txt,אוצריא/ספרות עזר/תולדות עם ישראל/יוסף בן מתתיהו/מלחמת היהודים.txt,Ben-Yehuda,1034
חיי יוסף.txt,אוצריא/ספרות עזר/תולדות עם ישראל/יוסף בן מתתיהו/חיי יוסף.txt,Ben-Yehuda,185
מהרם חלאווה על פסחים.txt,אוצריא/תלמוד בבלי/ראשונים/מהרם חלאווה על פסחים.txt,Dicta,806
תוספות רבינו יהודה החסיד על ברכות.txt,אוצריא/תלמוד בבלי/ראשונים/תוספות רבינו יהודה החסיד על ברכות.txt,Dicta,821
רי מיגאש על בבא מציעא.txt,אוצריא/תלמוד בבלי/ראשונים/רי מיגאש/רי מיגאש על בבא מציעא.txt,Dicta,7
חידושי הרן (מיוחס לו) על שבת.txt,אוצריא/תלמוד בבלי/ראשונים/רן/סדר מועד/חידושי הרן (מיוחס לו) על שבת.txt,Dicta,2432
חידושי הרן על שבת [מיוחס להריטבא].txt,אוצריא/תלמוד בבלי/ראשונים/רן/סדר מועד/חידושי הרן על שבת [מיוחס להריטבא].txt,Dicta,1167
חידושי הרן על ראש השנה.txt,אוצריא/תלמוד בבלי/ראשונים/רן/סדר מועד/חידושי הרן על ראש השנה.txt,Dicta,273
חידושי הרן על מגילה.txt,אוצריא/תלמוד בבלי/ראשונים/רן/סדר מועד/חידושי הרן על מגילה.txt,Dicta,334
חידושי הרן על עבודה זרה.txt,אוצריא/תלמוד בבלי/ראשונים/רן/סדר נזיקין/חידושי הרן על עבודה זרה.txt,Dicta,168
חידושי הרן על בבא מציעא.txt,אוצריא/תלמוד בבלי/ראשונים/רן/סדר נזיקין/חידושי הרן על בבא מציעא.txt,Dicta,1085
חידוד הלכות על נדה.txt,אוצריא/תלמוד בבלי/אחרונים/חידוד הלכות על נדה.txt,Dicta,464
המקנה על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/המקנה על קידושין.txt,Dicta,1596
